,No,Name,Type,Zone,TTChange,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
89,04775,Sadulpur - Hanumangarh Passenger Special (UnReserved),Pass,NWR,No Speed Change,NULL,Dec 31,SDLP,19:15,HMH,23:20,4h 5m,20,SMTWTFS,NULL,178 km,44 km/hr,04776
90,09764,Hanumangarh - Suratgarh Passenger Special (UnReserved),Pass,NWR,No TT Change,NULL,Dec 31,HMH,04:35,SOG,05:45,1h 10m,3,SMTWTFS,NULL,50 km,43 km/hr,09763
91,09601,Mavli - Marwar MG Passenger Special (UnReserved),Pass,NWR,Speeded: 10m,NULL,Dec 31,MVJ,12:30,MJ,18:00,5h 30m,14,SMTWTFS,NULL,151 km,27 km/hr,09602
92,09602,Marwar - Mavli MG Passenger Special (UnReserved),Pass,NWR,Speeded: 10m,NULL,Jan 01,MJ,06:10,MVJ,12:00,5h 50m,14,SMTWTFS,NULL,151 km,26 km/hr,09601
93,04778,Hanumangarh - Sadulpur Passenger Special (UnReserved),Pass,NWR,Speeded: 20m,NULL,Dec 31,HMH,18:00,SDLP,22:10,4h 10m,20,SMTWTFS,NULL,178 km,43 km/hr,04777
94,07515,Nagarsol - Pandharpur Ekadashi Special (UnReserved),Pass,SCR,Speeded: 1h 0m,Jul 11,Jul 11,NSL,05:00,PVR,20:30,15h 30m,0,    T  ,NULL,395 km,25 km/hr,07516
95,01485,Pandharpur - Kurduvadi Ashadhi Ekadashi Passenger Special,Pass,CR,Src/Dest Changed.,Jul 06,Jul 14,PVR,13:00,KWV,14:00,1h 0m,1,S    FS,SL ,53 km,53 km/hr,01486
96,01486,Kurduvadi - Pandharpur Ashadhi Ekadashi Passenger Special,Pass,CR,Src/Dest Changed.,Jul 06,Jul 14,KWV,14:30,PVR,15:35,1h 5m,1,S    FS,SL ,53 km,49 km/hr,01485
97,04801,Parbatsar City - Makrana Passenger Special (UnReserved),Pass,NWR,No TT Change,NULL,Jan 01,PBC,06:30,MKN,07:30,1h 0m,1, MTWTFS,NULL,22 km,22 km/hr,04802
98,04802,Makrana - Parbatsar City Passenger Special (UnReserved),Pass,NWR,No Speed Change,NULL,Dec 31,MKN,19:15,PBC,20:15,1h 0m,1,SMTWTF ,NULL,22 km,22 km/hr,04801
99,03602,Pt. DD Upadhyaya Jn. - Buxar Passenger Special (UnReserved),Pass,NR,No TT Change,Dec 06,Dec 31,DDU,08:50,BXR,12:45,3h 55m,9,SMTWTFS,NULL,94 km,24 km/hr,03601
100,03601,Buxar - Pt. DD Upadhyaya Jn. Passenger Special (UnReserved),Pass,NR,No TT Change,Dec 06,Dec 31,BXR,14:00,DDU,17:45,3h 45m,9,SMTWTFS,NULL,94 km,25 km/hr,03602
101,07524,Pandharpur - Akola Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 13,Jul 13,PVR,08:00,AK,23:45,15h 45m,1,      S,NULL,601 km,38 km/hr,07523
102,07523,Akola - Pandharpur Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 11,Jul 11,AK,05:50,PVR,20:30,14h 40m,1,    T  ,NULL,601 km,41 km/hr,07524
103,07516,Pandharpur - Nagarsol Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 13,Jul 13,PVR,08:00,NSL,01:35,17h 35m,0,      S,NULL,395 km,22 km/hr,07515
104,09762,Suratgarh - Shri Ganganagar Passenger Special (UnReserved),Pass,NWR,Old TT,NULL,Dec 31,SOG,20:15,SGNR,23:15,3h 0m,15,SMTWTFS,NULL,137 km,46 km/hr,09761
105,09761,Shri Ganganagar - Suratgarh Passenger Special (UnReserved),Pass,NWR,Old TT,NULL,Dec 31,SGNR,04:20,SOG,07:10,2h 50m,11,SMTWTFS,NULL,137 km,48 km/hr,09762
106,07501,Adilabad - Pandharpur Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 11,Jul 11,ADB,09:00,PVR,23:30,14h 30m,18,    T  ,NULL,609 km,42 km/hr,07502
107,07522,Bidar - Pandharpur Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 12,Jul 12,BIDR,16:00,PVR,23:30,7h 30m,8,     F ,NULL,352 km,47 km/hr,07521
108,07521,Pandharpur - Bidar Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 12,Jul 12,PVR,05:30,BIDR,13:20,7h 50m,8,     F ,NULL,352 km,45 km/hr,07522
109,07518,Pandharpur - Bidar Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 13,Jul 13,PVR,05:30,BIDR,13:20,7h 50m,1,      S,NULL,352 km,45 km/hr,07517
110,07517,Bidar - Pandharpur Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 11,Jul 11,BIDR,15:45,PVR,23:30,7h 45m,1,    T  ,NULL,352 km,45 km/hr,07518
111,07502,Pandharpur - Adilabad Ekadashi Special (UnReserved),Pass,SCR,Old TT,Jul 13,Jul 13,PVR,05:30,ADB,20:40,15h 10m,0,      S,NULL,609 km,40 km/hr,07501
112,54394,Gajraula - Moradabad Passenger (UnReserved),Pass,NR,Old TT,NULL,Jun 30,GJL,14:20,MB,16:20,2h 0m,7,SMTWTFS,NULL,53 km,27 km/hr,54393
113,54393,Moradabad - Gajraula Passenger (UnReserved),Pass,NR,Old TT,NULL,Jun 30,MB,10:00,GJL,12:10,2h 10m,7,SMTWTFS,NULL,53 km,25 km/hr,54394
