,No,Name,Type,Zone,TTChange,Date From,Date To,From,Dep,To,Arr,Duration,Halts,Dep Days,Classes,Distance,Speed,Return
1016,55319,Lalkuan - Kashipur Passenger (UnReserved),Pass,NER,Slowed: 10m,NULL,NULL,LKU,20:45,KPV,22:10,1h 25m,4,SMTWTFS,NULL,58 km,41 km/hr,75304
1017,53646,Tarighat - Dildarnagar Passenger (UnReserved),Pass,ECR,No Speed Change,NULL,NULL,TRG,13:00,DLN,14:00,1h 0m,1,SMTWTFS,NULL,19 km,19 km/hr,53645
1018,53648,Tarighat - Dildarnagar Passenger (UnReserved),Pass,ECR,No Speed Change,NULL,NULL,TRG,18:00,DLN,19:00,1h 0m,2,SMTWTFS,NULL,19 km,19 km/hr,53647
1019,52028,Miyagam Karjan - Choranda Mix Passenger (UnReserved),Pass,WR,Src Changed.,NULL,NULL,MYGL,12:30,CRND,12:55,0h 25m,1,SMTWTFS,NULL,9 km,22 km/hr,52027
1020,52027,Choranda - Miyagam Karjan Mix Passenger (UnReserved),Pass,WR,Dest Changed.,NULL,NULL,CRND,13:15,MYGL,13:40,0h 25m,1,SMTWTFS,NULL,9 km,22 km/hr,52028
1021,52024,Miyagam Karjan - Malsar Mix Passenger (UnReserved),Pass,WR,Src Changed.,NULL,NULL,MYGL,18:10,MLSR,19:50,1h 40m,3,SMTWTFS,NULL,38 km,23 km/hr,52023
1022,55102,Barhaj Bazar - Bhatni Passenger (UnReserved),Pass,NER,Speeded: 15m,NULL,NULL,BHJ,10:50,BTT,12:10,1h 20m,5, MTWTFS,NULL,31 km,23 km/hr,55101
1023,55103,Bhatni - Barhaj Bazar Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,BTT,15:30,BHJ,16:50,1h 20m,5,SMTWTFS,NULL,31 km,23 km/hr,55104
1024,55146,Barhaj Bazar - Salempur Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,BHJ,17:20,SRU,18:15,0h 55m,3,SMTWTFS,NULL,20 km,22 km/hr,55145
1025,55104,Barhaj Bazar - Bhatni Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,BHJ,20:00,BTT,21:15,1h 15m,5, MTWTFS,NULL,31 km,24 km/hr,55103
1026,53644,Tarighat - Dildarnagar Passenger (UnReserved),Pass,ECR,No Speed Change,NULL,NULL,TRG,09:45,DLN,10:45,1h 0m,2,SMTWTFS,NULL,19 km,19 km/hr,53645
1027,56909,KSR Bengaluru - Hosapete Fast Passenger,Pass,SWR,Speeded: 1h 40m,NULL,NULL,SBC,20:15,HPT,08:00,11h 45m,34,SMTWTFS,SL ,530 km,45 km/hr,56910
1028,58109,Tatanagar - Gua Passenger (UnReserved),Pass,SER,No Speed Change,NULL,NULL,TATA,07:30,GUA,11:30,4h 0m,17,SMTWTFS,NULL,147 km,37 km/hr,58110
1029,57552,Adilabad - Purna Passenger (UnReserved),Pass,SCR,No TT Change,NULL,NULL,ADB,15:15,PAU,20:45,5h 30m,28,SMTWTFS,NULL,215 km,39 km/hr,57551
1030,53001,Howrah - Azimganj Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,HWH,16:00,AZ,22:00,6h 0m,41,SMTWTFS,NULL,217 km,36 km/hr,53002
1031,54469,Tundla - Etah Passenger (UnReserved),Pass,NR,No Speed Change,NULL,NULL,TDL,10:50,ETAH,12:40,1h 50m,8, MTWTF ,NULL,74 km,40 km/hr,54470
1032,55125,Manduadih - Allahabad City Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,MUV,06:00,ALY,10:05,4h 5m,20,SMTWTFS,NULL,118 km,29 km/hr,55126
1033,59441-Slip,Mumbai Central - Nandurbar Passenger Slip,Pass,WR,Speeded: 40m,NULL,NULL,MMCT,22:40,NDB,12:15,13h 35m,48,SMTWTFS,SL ,424 km,31 km/hr,59076-Slip
1034,55019,Chhapra - Gorakhpur Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,CPR,11:20,GKP,17:05,5h 45m,25,SMTWTFS,NULL,180 km,31 km/hr,55020
1035,55330,Kasganj - Shikohabad Passenger (UnReserved),Pass,NER,Slowed: 10m,NULL,NULL,KSJ,04:50,SKB,10:50,6h 0m,31,SMTWTFS,NULL,214 km,36 km/hr,55329
1036,55028,Gonda - Gorakhpur Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,GD,17:20,GKP,21:20,4h 0m,23,SMTWTFS,NULL,152 km,38 km/hr,55027
1037,55027,Gorakhpur Gonda Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,GKP,18:15,GD,23:45,5h 30m,23,SMTWTFS,NULL,152 km,28 km/hr,55028
1038,58702,Ambikapur - Shahdol Passenger,Pass,SECR,No Speed Change,NULL,NULL,ABKP,08:40,SDL,14:20,5h 40m,22,SMTWTFS,SL ,214 km,38 km/hr,58701
1039,55031,Nakaha Jungle - Lucknow Jn. Passenger (UnReserved),Pass,NER,Slowed: 15m,NULL,NULL,JEA,07:45,LJN,21:35,13h 50m,56,SMTWTFS,NULL,341 km,25 km/hr,55032
1040,55111,Siwan - Thawe Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,SV,15:40,THE,16:30,0h 50m,3,SMTWTFS,NULL,28 km,34 km/hr,55112
1041,55113,Siwan - Thawe Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,SV,18:55,THE,19:50,0h 55m,3,SMTWTFS,NULL,28 km,31 km/hr,55114
1042,51804,Kanpur Central - Jhansi Passenger (UnReserved),Pass,NCR,Slowed: 25m,NULL,NULL,CNB,07:05,JHS,13:50,6h 45m,25,SMTWTFS,NULL,220 km,33 km/hr,51803
1043,55018,Mau - Chhapra Passenger (UnReserved),Pass,NER,Speeded: 1m,NULL,NULL,MAU,05:00,CPR,09:40,4h 40m,21,SMTWTFS,NULL,135 km,29 km/hr,55017
1044,55032,Daliganj - Nakaha Jungle Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,DAL,17:25,JEA,05:20,11h 55m,53,SMTWTFS,NULL,334 km,28 km/hr,55031
1045,51806,Manikpur - Jhansi Passenger (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,MKP,02:20,JHS,10:05,7h 45m,29,SMTWTFS,NULL,291 km,38 km/hr,51805
1046,55332,Kasganj - Farrukhabad Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,KSJ,17:30,FBD,20:20,2h 50m,15,SMTWTFS,NULL,108 km,38 km/hr,55331
1047,51803,Jhansi - Kanpur Central Passenger (UnReserved),Pass,NCR,No Speed Change,NULL,NULL,JHS,08:20,CNB,14:35,6h 15m,24,SMTWTFS,NULL,220 km,35 km/hr,51804
1048,54468,Etah - Tundla Passenger (UnReserved),Pass,NR,Slowed: 5m,NULL,NULL,ETAH,08:30,TDL,10:15,1h 45m,8,SMTWTFS,NULL,74 km,42 km/hr,54467
1049,52122,Jamner - Pachora NG Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,JMNR,10:55,PCHN,13:10,2h 15m,5,SMTWTFS,NULL,56 km,25 km/hr,52121
1050,52124,Jamner - Pachora NG Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,JMNR,17:05,PCHN,19:05,2h 0m,5,SMTWTFS,NULL,56 km,28 km/hr,52123
1051,58220-Slip,Chirimiri - Bhopal Passenger Slip,Pass,SECR,Speeded: 20m,NULL,NULL,CHRM,20:50,BPL,18:15,21h 25m,57,SMTWTFS,SL ,651 km,30 km/hr,18235-Slip
1052,55123,Bhatni - Varanasi City Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,BTT,14:05,BCY,19:30,5h 25m,22,SMTWTFS,NULL,158 km,29 km/hr,55122
1053,55150,Varanasi City - Gorakhpur Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,BCY,23:55,GKP,07:25,7h 30m,26,SMTWTFS,NULL,228 km,30 km/hr,55149
1054,55115,Chhapra - Bhatni Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,CPR,07:35,BTT,11:50,4h 15m,15,SMTWTFS,NULL,110 km,26 km/hr,55116
1055,55110,Thawe - Siwan Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,THE,13:30,SV,14:25,0h 55m,3,SMTWTFS,NULL,28 km,31 km/hr,55111
1056,55169,Duraundha - Siwan Passenger (UnReserved),Pass,NER,Speeded: 5m,NULL,NULL,DDA,14:35,SV,15:00,0h 25m,1,SMTWTFS,NULL,18 km,43 km/hr,55170
1057,55112,Thawe - Siwan Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,THE,17:20,SV,18:10,0h 50m,3,SMTWTFS,NULL,28 km,34 km/hr,55113
1058,55114,Thawe - Siwan Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,THE,20:35,SV,21:30,0h 55m,3,SMTWTFS,NULL,28 km,31 km/hr,55107
1059,55131,Chhapra - Varanasi City Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,CPR,07:30,BCY,15:30,8h 0m,32,SMTWTFS,NULL,202 km,25 km/hr,55132
1060,51140,Amravati - Badnera Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,AMI,07:15,BD,07:30,0h 15m,0,SMTWTFS,NULL,9 km,37 km/hr,51139
1061,55327,Kanpur Anwarganj- Farrukhabad Passenger (UnReserved),Pass,NER,Src Changed.,NULL,NULL,CPA,19:10,FBD,23:05,3h 55m,23,SMTWTFS,NULL,137 km,35 km/hr,55328
1062,55135,Azamgarh - Varanasi City Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,AMH,05:00,BCY,09:55,4h 55m,18,SMTWTFS,NULL,133 km,27 km/hr,55136
1063,55049,Nakha Jungle - Daliganj Passenger (UnReserved),Pass,NER,Speeded: 5m,NULL,NULL,JEA,22:50,DAL,09:20,10h 30m,53,SMTWTFS,NULL,334 km,32 km/hr,55050
1064,55329,Shikohabad - Kasganj Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,SKB,16:00,KSJ,23:40,7h 40m,31,SMTWTFS,NULL,214 km,28 km/hr,55330
1065,52251,Bahraich - Mailani MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,BRK,11:05,MLN,17:58,6h 53m,17,SMTWTFS,NULL,206 km,30 km/hr,52252
1066,55325,Lucknow Junction - Kasganj Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,LJN,04:30,KSJ,14:45,10h 15m,53,SMTWTFS,NULL,319 km,31 km/hr,55326
1067,52262,Nepalganj Road - Bahraich MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,NPR,10:10,BRK,12:15,2h 5m,4,SMTWTFS,NULL,54 km,26 km/hr,52261
1068,55025,Gorakhpur - Gonda Passenger (UnReserved),Pass,NER,Speeded: 10m,NULL,NULL,GKP,06:00,GD,10:30,4h 30m,23,SMTWTFS,NULL,152 km,34 km/hr,55026
1069,55030,Gorakhpur - Narkatiaganj Passenger (UnReserved),Pass,NER,Speeded: 25m,NULL,NULL,GKP,18:05,NKE,23:10,5h 5m,19,SMTWTFS,NULL,150 km,29 km/hr,55029
1070,52254,Tiknuia - Bahraich MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,TQN,06:05,BRK,10:30,4h 25m,12,SMTWTFS,NULL,127 km,29 km/hr,52253
1071,55033,Gonda - Sitapur Jn. Passenger (UnReserved),Pass,NER,Dest Changed.,NULL,NULL,GD,11:15,STP,15:10,3h 55m,22,SMTWTFS,NULL,159 km,41 km/hr,55034
1072,52258,Mailani - Tikunia MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,MLN,10:40,TQN,13:35,2h 55m,4,SMTWTFS,NULL,78 km,27 km/hr,52257
1073,52256,Mailani - Tikunia MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,MLN,14:55,TQN,17:58,3h 3m,4,SMTWTFS,NULL,78 km,26 km/hr,52255
1074,55036,Sitapur Jn. - Gonda Passenger (UnReserved),Pass,NER,Src Changed.,NULL,NULL,STP,18:10,GD,22:30,4h 20m,20,SMTWTFS,NULL,159 km,37 km/hr,55035
1075,52261,Bahraich - Nepalganj Road MG Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,BRK,07:15,NPR,09:30,2h 15m,4,SMTWTFS,NULL,54 km,24 km/hr,52262
1076,52257,Tikunia - Mailani MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,TQN,14:10,MLN,17:15,3h 5m,4,SMTWTFS,NULL,78 km,25 km/hr,52258
1077,52263,Bahraich - Nepalganj Road MG Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,BRK,15:30,NPR,17:50,2h 20m,4,SMTWTFS,NULL,54 km,23 km/hr,52264
1078,52265,Bahraich - Nepalganj Road MG Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,BRK,09:45,NPR,12:00,2h 15m,4,SMTWTFS,NULL,54 km,24 km/hr,52266
1079,52252,Mailani - Bahraich MG Passenger (UnReserved),Pass,NER,Speeded: 40m,NULL,NULL,MLN,08:40,BRK,16:40,8h 0m,17,SMTWTFS,NULL,206 km,26 km/hr,52251
1080,55109,Siwan - Thawe Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,SV,09:30,THE,10:30,1h 0m,3,SMTWTFS,NULL,28 km,28 km/hr,55110
1081,56323,Coimbatore - Mangaluru Central Fast Passenger (UnReserved),Pass,SR,Slowed: 10m,NULL,NULL,CBE,07:30,MAQ,19:00,11h 30m,52,SMTWTFS,NULL,407 km,35 km/hr,56324
1082,56605,Coimbatore - Thrissur Passenger (UnReserved),Pass,SR,Slowed: 20m,NULL,NULL,CBE,16:30,TCR,20:55,4h 25m,18,SMTWTFS,NULL,133 km,30 km/hr,56603
1083,53002,Azimganj - Howrah Passenger (UnReserved),Pass,ER,No Speed Change,NULL,NULL,AZ,21:05,HWH,03:50,6h 45m,34,SMTWTFS,NULL,217 km,32 km/hr,53001
1084,58803,Balharshah - Gondia Passenger (UnReserved),Pass,SECR,No Speed Change,NULL,NULL,BPQ,05:45,G,12:05,6h 20m,27,SMTWTFS,NULL,250 km,39 km/hr,58804
1085,55008,Gorakhpur - Patliputra Passenger (UnReserved),Pass,NER,Slowed: 2h 6m,NULL,NULL,GKP,01:20,PPTA,12:53,11h 33m,48,SMTWTFS,NULL,291 km,25 km/hr,55007
1086,55348,Lal Kuan - Bareilly City Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,LKU,07:25,BC,09:40,2h 15m,8,SMTWTFS,NULL,82 km,36 km/hr,55347
1087,59803,Ratlam - Kota Passenger (UnReserved),Pass,WCR,Speeded: 15m,NULL,NULL,RTM,13:35,KOTA,19:45,6h 10m,22,SMTWTFS,NULL,267 km,43 km/hr,59804
1088,55326,Kasganj - Lucknow Jn. Passenger (UnReserved),Pass,NER,Slowed: 25m,NULL,NULL,KSJ,14:50,LJN,01:10,10h 20m,53,SMTWTFS,NULL,319 km,31 km/hr,55325
1089,57517,Hyderabad - Tandur Passenger (UnReserved),Pass,SCR,No TT Change,NULL,NULL,HYB,12:15,TDU,15:00,2h 45m,13,SMTWTFS,NULL,115 km,42 km/hr,57518
1090,57518,Tandur - Hyderabad Passenger (UnReserved),Pass,SCR,No Speed Change,NULL,NULL,TDU,16:15,HYB,19:10,2h 55m,13,SMTWTFS,NULL,115 km,39 km/hr,57517
1091,55122,Manduadih - Bhatni Passenger (UnReserved),Pass,NER,Slowed: 10m,NULL,NULL,MUV,07:05,BTT,12:45,5h 40m,24,SMTWTFS,NULL,164 km,29 km/hr,55123
1092,51422,Nizamabad - Pune Passenger,Pass,CR,No Speed Change,NULL,NULL,NZB,23:40,PUNE,20:55,21h 15m,72,SMTWTFS,SL ,772 km,36 km/hr,51421
1093,51754,Chirimiri - Rewa Fast Passenger,Pass,WCR,No Speed Change,NULL,NULL,CHRM,15:00,REWA,04:40,13h 40m,28,SMTWTFS,SL ,399 km,29 km/hr,51753
1094,52253,Bahraich - Tikunia MG Passenger (UnReserved),Pass,NER,Slowed: 10m,NULL,NULL,BRK,13:00,TQN,17:50,4h 50m,12,SMTWTFS,NULL,127 km,26 km/hr,52254
1095,52976,Omkareshwar Road - Dr. Ambedkar Nagar MG Fast Passenger,Pass,WR,Src Changed.,NULL,NULL,OM,17:55,DADN,20:15,2h 20m,5,SMTWTFS,SL ,59 km,25 km/hr,52975
1096,52975,Dr. Ambedkar Nagar - Omkareshwar Road MG Passenger (UnReserved),Pass,WR,Dest Changed.,NULL,NULL,DADN,14:00,OM,16:10,2h 10m,5,SMTWTFS,NULL,59 km,27 km/hr,52976
1097,57131,Bolarum - Hyderabad Passenger (UnReserved),Pass,SCR,No TT Change,NULL,NULL,BMO,09:05,HYB,10:15,1h 10m,10,SMTWTFS,NULL,23 km,20 km/hr,NULL
1098,56657,Kozhikode - Kannur Passenger (UnReserved),Pass,SR,Slowed: 5m,NULL,NULL,CLT,14:00,CAN,16:20,2h 20m,18,SMTWTFS,NULL,89 km,38 km/hr,56652
1099,51802,Kanpur Central - Manikpur Passenger (UnReserved),Pass,NCR,Slowed: 25m,NULL,NULL,CNB,06:10,MKP,13:15,7h 5m,29,SMTWTFS,NULL,244 km,34 km/hr,51801
1100,51239,Amla - Betul Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,AMLA,07:05,BZU,07:40,0h 35m,2,SMTWTFS,NULL,23 km,40 km/hr,51240
1101,59510,Viramgam - Mahesana Passenger (UnReserved),Pass,WR,No Speed Change,NULL,NULL,VG,06:00,MSH,07:35,1h 35m,6,SMTWTFS,NULL,65 km,41 km/hr,59509
1102,51136,Amravati - Badnera Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,AMI,02:15,BD,02:30,0h 15m,0,SMTWTFS,NULL,9 km,37 km/hr,51137
1103,51138,Amravati - Badnera Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,AMI,03:55,BD,04:10,0h 15m,0,SMTWTFS,NULL,9 km,37 km/hr,51137
1104,58218,Raipur - Titlagarh Passenger (UnReserved),Pass,SECR,Slowed: 20m,NULL,NULL,R,02:00,TIG,07:45,5h 45m,12,SMTWTFS,NULL,203 km,35 km/hr,58217
1105,55347,Bareilly City - Lal Kuan Passenger (UnReserved),Pass,NER,Slowed: 10m,NULL,NULL,BC,10:05,LKU,12:45,2h 40m,8,SMTWTFS,NULL,82 km,31 km/hr,55348
1106,55331,Farrukhabad - Kasganj Passenger (UnReserved),Pass,NER,Slowed: 5m,NULL,NULL,FBD,04:50,KSJ,07:30,2h 40m,15,SMTWTFS,NULL,108 km,40 km/hr,55332
1107,52255,Tikunia - Mailani MG Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,TQN,06:15,MLN,09:30,3h 15m,4,SMTWTFS,NULL,78 km,24 km/hr,52256
1108,52250,Mailani - Bahraich MG Passenger (UnReserved),Pass,NER,Src/Dest Changed.,NULL,NULL,MLN,06:35,BRK,14:35,8h 0m,17,SMTWTFS,NULL,206 km,26 km/hr,52249
1109,52249,Bahraich - Mailani MG Passenger (UnReserved),Pass,NER,Src/Dest Changed.,NULL,NULL,BRK,06:15,MLN,13:45,7h 30m,17,SMTWTFS,NULL,206 km,27 km/hr,52250
1110,55071,Narkatiaganj - Gorakhpur Passenger (UnReserved),Pass,NER,Slowed: 30m,NULL,NULL,NKE,15:00,GKP,20:30,5h 30m,19,SMTWTFS,NULL,150 km,27 km/hr,55072
1111,55073,Narkatiaganj - Gorakhpur Passenger (UnReserved),Pass,NER,Slowed: 15m,NULL,NULL,NKE,04:15,GKP,09:30,5h 15m,19,SMTWTFS,NULL,150 km,28 km/hr,55074
1112,55026,Gonda - Gorakhpur Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,GD,04:15,GKP,09:25,5h 10m,23,SMTWTFS,NULL,152 km,29 km/hr,55027
1113,55011,Siwan - Gorakhpur Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,SV,05:30,GKP,09:15,3h 45m,16,SMTWTFS,NULL,119 km,32 km/hr,55012
1114,53642,Pt. Deen Dayal Upadhyaya Jn. - Dildarnagar Passenger (UnReserved),Pass,ECR,Src Changed.,NULL,NULL,DDU,06:35,DLN,08:05,1h 30m,7,SMTWTFS,NULL,58 km,38 km/hr,53641
1115,54312,Moradabad - Bareilly Passenger (via Chandausi) (UnReserved),Pass,NR,Slowed: 15m,NULL,NULL,MB,07:05,BE,11:05,4h 0m,18,SMTWTFS,NULL,112 km,28 km/hr,54311
1116,55108,Thawe - Siwan Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,THE,08:00,SV,08:50,0h 50m,3,SMTWTFS,NULL,28 km,34 km/hr,55109
1117,54324,Sitapur Jn. - Burhwal Passenger (UnReserved),Pass,NR,Src Changed.,NULL,NULL,STP,12:45,BUW,15:00,2h 15m,12,SMTWTFS,NULL,97 km,43 km/hr,54323
1118,55038,Sitapur Jn. - Burhwal Passenger (UnReserved),Pass,NER,Src Changed.,NULL,NULL,STP,15:35,BUW,17:55,2h 20m,12,SMTWTFS,NULL,97 km,42 km/hr,55037
1119,55035,Gonda - Sitapur Jn. Passenger (UnReserved),Pass,NER,Dest Changed.,NULL,NULL,GD,04:50,STP,09:05,4h 15m,20,SMTWTFS,NULL,159 km,37 km/hr,55036
1120,54240,Ayodhya - Mankapur Passenger (UnReserved),Pass,NR,No TT Change,NULL,NULL,AY,09:55,MUR,10:50,0h 55m,3,SMTWTFS,NULL,38 km,41 km/hr,54239
1121,55172,Masrakh - Duraundha Passenger (UnReserved),Pass,NER,Src Changed.,NULL,NULL,MHC,11:30,DDA,14:30,3h 0m,6,SMTWTFS,NULL,43 km,14 km/hr,55171
1122,59228,Bhavnagar Terminus - Botad Passenger (UnReserved),Pass,WR,No Speed Change,NULL,NULL,BVC,05:00,BTD,07:05,2h 5m,10,SMTWTFS,NULL,92 km,44 km/hr,59227
1123,54226,Rae Bareli - Unchahar Passenger (UnReserved),Pass,NR,No TT Change,NULL,NULL,RBL,08:35,UCR,09:25,0h 50m,3,SMTWTFS,NULL,38 km,46 km/hr,54225
1124,55133,Ballia - Varanasi City Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,BUI,05:45,BCY,09:25,3h 40m,21,SMTWTFS,NULL,136 km,37 km/hr,55134
1125,55101,Bhatni - Barhaj Barhajia Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,BTT,05:10,BHJ,06:20,1h 10m,5, MTWTFS,NULL,31 km,26 km/hr,55102
1126,55314,Ramnagar - Kashipur Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,RMR,17:00,KPV,17:35,0h 35m,2,SMTWTFS,NULL,27 km,46 km/hr,55313
1127,59214,Porbandar - Bhanvad Passenger (UnReserved),Pass,WR,Speeded: 10m,NULL,NULL,PBR,06:30,BNVD,07:40,1h 10m,5,SMTWTFS,NULL,52 km,44 km/hr,59213
1128,52004,Waghai - Bilimora Mix Passenger (UnReserved),Pass,WR,Speeded: 40m,NULL,NULL,WGI,05:00,BIM,08:20,3h 20m,9,SMTWTFS,NULL,63 km,19 km/hr,52003
1129,52002,Waghai - Bilimora Mix Passenger (UnReserved),Pass,WR,Speeded: 55m,NULL,NULL,WGI,14:30,BIM,17:35,3h 5m,9,SMTWTFS,NULL,63 km,20 km/hr,52003
1130,52267,Bahraich - Nepalganj Road MG Passenger (UnReserved),Pass,NER,Old TT,NULL,NULL,BRK,07:45,NPR,10:00,2h 15m,4,SMTWTFS,NULL,54 km,24 km/hr,52268
1131,52021,Moti Koral - Miyagam Karjan Mix NG Passenger (UnReserved),Pass,WR,No TT Change,NULL,NULL,MKRL,07:00,MYGL,08:50,1h 50m,5,SMTWTFS,NULL,28 km,15 km/hr,52022
1132,52955,Amreli - Junagadh MG Passenger (UnReserved),Pass,WR,Slowed: 5m,NULL,NULL,AE,06:45,JND,10:35,3h 50m,9,SMTWTFS,NULL,117 km,30 km/hr,52956
1133,59244,Mahuva - Rajula City Passenger (UnReserved),Pass,WR,No TT Change,NULL,NULL,MHV,10:10,RJU,11:25,1h 15m,5,SMTWTFS,NULL,38 km,31 km/hr,59243
1134,52952,Junagadh - Delvada MG Passenger (UnReserved),Pass,WR,Slowed: 20m,NULL,NULL,JND,07:30,DVA,14:45,7h 15m,17,SMTWTFS,NULL,160 km,22 km/hr,52951
1135,59708,Suratgarh - Anupgarh Passenger (UnReserved),Pass,NWR,No TT Change,NULL,NULL,SOG,08:25,APH,10:10,1h 45m,7,SMTWTFS,NULL,77 km,44 km/hr,59707
1136,55107,Siwan - Thawe Passenger (UnReserved),Pass,NER,No Speed Change,NULL,NULL,SV,06:15,THE,07:05,0h 50m,3,SMTWTFS,NULL,28 km,34 km/hr,55114
1137,58651,Ranchi - Lohardaga Passenger (UnReserved),Pass,SER,No Speed Change,NULL,NULL,RNC,05:00,LAD,06:30,1h 30m,8,SMTWTFS,NULL,67 km,45 km/hr,58652
1138,54785,Firozpur Cantt - Fazilka Passenger (UnReserved),Pass,NWR,No TT Change,NULL,NULL,FZR,05:35,FKA,08:10,2h 35m,12,SMTWTFS,NULL,88 km,34 km/hr,54786
1139,56613,Shoranur - Nilambur Road Fast Passenger (UnReserved),Pass,SR,Slowed: 15m,NULL,NULL,SRR,09:15,NIL,11:05,1h 50m,10,SMTWTFS,NULL,66 km,36 km/hr,56612
1140,52137,Shakuntala NG Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,MZRN,07:15,ELP,10:45,3h 30m,10,SMTWTFS,NULL,76 km,22 km/hr,52138
1141,52001,Bilimora - Waghai Mix Passenger (UnReserved),Pass,WR,Speeded: 1h 0m,NULL,NULL,BIM,10:00,WGI,13:00,3h 0m,9,SMTWTFS,NULL,63 km,21 km/hr,52002
1142,53643,Dildarnagar - Tarighat Passenger (UnReserved),Pass,ECR,No TT Change,NULL,NULL,DLN,08:15,TRG,09:15,1h 0m,2,SMTWTFS,NULL,19 km,19 km/hr,53644
1143,55145,Salempur - Barhaj Bazar Passenger (UnReserved),Pass,NER,No TT Change,NULL,NULL,SRU,18:40,BHJ,19:30,0h 50m,3,SMTWTFS,NULL,20 km,24 km/hr,55146
1144,52023,Malsar - Miyagam Karjan Mix Passenger (UnReserved),Pass,WR,Dest Changed.,NULL,NULL,MLSR,05:20,MYGL,06:50,1h 30m,3,SMTWTFS,NULL,38 km,25 km/hr,52024
1145,59120,Chhota Udepur - Pratapnagar Passenger (UnReserved),Pass,WR,Dest Changed.,NULL,NULL,CTD,17:05,PRTN,19:35,2h 30m,16,SMTWTFS,NULL,99 km,40 km/hr,59119
1146,52022,Miyagam - Moti Koral Mix NG Passenger (UnReserved),Pass,WR,No TT Change,NULL,NULL,MYGL,17:10,MKRL,19:40,2h 30m,5,SMTWTFS,NULL,28 km,11 km/hr,52021
1147,71108,Khamgaon - Jalamb Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,KMN,10:50,JM,11:10,0h 20m,0,SMTWTFS,NULL,13 km,38 km/hr,71109
1148,71112,Khamgaon - Jalamb Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,KMN,15:20,JM,15:40,0h 20m,0,SMTWTFS,NULL,13 km,38 km/hr,71113
1149,71116,Khamgaon - Jalamb Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,KMN,20:40,JM,21:00,0h 20m,0,SMTWTFS,NULL,13 km,38 km/hr,71117
1150,71102,Khamgaon - Jalamb Passenger (UnReserved),Pass,CR,No TT Change,NULL,NULL,KMN,04:50,JM,05:10,0h 20m,0,SMTWTFS,NULL,13 km,38 km/hr,71105
